"LAKENUMBER_TO_USE"	"Lac"	"Mesure"	"date"	"Green_Algae_ug.L"	"Bluegreen_ug.L"	"Diatoms_ug.L"	"Cryptophyta_ug.L"	"Yellow.sub_ug.L"	"Total_conc_ug.L"	"treatment"	"Year"	"Month"	"Day"
1	"LAC 1"	"Mesure 1"	2016-05-17 15:39:20	35.0333333333333	0	6.37333333333333	0	0.65	41.4066666666667	"No perch - Phosphorus"	2016	5	17
1	"LAC 1"	"Mesure 1"	2016-09-22 14:19:00	5.66666666666667	2.08333333333333	1.49333333333333	2.26	3.47333333333333	11.5033333333333	"No perch - Phosphorus"	2016	9	22
1	"LAC 1"	"Mesure 1"	2016-06-20 15:31:00	56.2133333333333	0.0366666666666667	0	0	0.916666666666667	56.2533333333333	"No perch - Phosphorus"	2016	6	20
1	"LAC 1"	"Mesure 1"	2016-10-18 14:27:00	4.1	1.11	0.363333333333333	2.32	2.4	7.9	"No perch - Phosphorus"	2016	10	18
1	"LAC 1"	"Mesure 1"	2016-03-22 14:55:00	12.9066666666667	0	1.35333333333333	0	1.06333333333333	14.26	"No perch - Phosphorus"	2016	3	22
1	"LAC 1"	"Mesure 1"	2016-02-17 15:49:00	14.0133333333333	0	12.8	0	0.693333333333333	26.8166666666667	"No perch - Phosphorus"	2016	2	17
1	"LAC 1"	"Mesure 1"	2016-07-20 14:55:00	80.9	0	0	0	2.36666666666667	80.9	"No perch - Phosphorus"	2016	7	20
1	"LAC 1"	"Mesure 1"	2016-11-21 16:31:00	89.88	0.376666666666667	8.12	0	4.06	98.38	"No perch - Phosphorus"	2016	11	21
1	"LAC 1"	"Mesure 1"	2016-04-14 16:12:00	21.8833333333333	0	0.36	0	0.656666666666667	22.2433333333333	"No perch - Phosphorus"	2016	4	14
1	"LAC 1"	"Mesure 1"	2016-08-23 14:07:00	206.63	27.1033333333333	9.37666666666667	0	2.55333333333333	243.113333333333	"No perch - Phosphorus"	2016	8	23
1	"LAC 1"	"Mesure 1"	2016-01-13 17:04:40	8.87	0.0133333333333333	3.93666666666667	0	0.98	12.8133333333333	"No perch - Phosphorus"	2016	1	13
1	"LAC 1"	"Mesure 1"	2016-12-15 17:31:00	96.4466666666667	0	0.726666666666667	0	3.02666666666667	97.1666666666667	"No perch - Phosphorus"	2016	12	15
2	"LAC 2"	"Mesure 1"	2016-03-22 14:58:00	2.51	0.126666666666667	1.27333333333333	0.0233333333333333	0.636666666666667	3.93	"No perch - Control"	2016	3	22
2	"LAC 2"	"Mesure 1"	2016-04-14 16:16:40	5.39333333333333	0	1.76333333333333	0	0.153333333333333	7.15666666666667	"No perch - Control"	2016	4	14
2	"LAC 2"	"Mesure 1"	2016-10-18 14:29:40	0	0.683333333333333	0.46	0.22	1.01333333333333	1.36	"No perch - Control"	2016	10	18
2	"LAC 2"	"Mesure 1"	2016-01-13 17:07:00	4.4	0.23	6.18	0	0.65	10.8133333333333	"No perch - Control"	2016	1	13
2	"LAC 2"	"Mesure 1"	2016-05-17 15:42:20	8.44333333333333	0	0.856666666666667	0	0.74	9.3	"No perch - Control"	2016	5	17
2	"LAC 2"	"Mesure 1"	2016-11-21 16:34:00	1.22666666666667	0.556666666666667	1.43666666666667	0.0166666666666667	1.24666666666667	3.23666666666667	"No perch - Control"	2016	11	21
2	"LAC 2"	"Mesure 1"	2016-02-17 15:57:00	10.13	0	7.26	0	0.19	17.3933333333333	"No perch - Control"	2016	2	17
2	"LAC 2"	"Mesure 1"	2016-08-23 14:26:00	20.5766666666667	0	2.93666666666667	0	1.11666666666667	23.5166666666667	"No perch - Control"	2016	8	23
2	"LAC 2"	"Mesure 1"	2016-06-20 15:33:00	17.4866666666667	0	0.72	0	0.983333333333333	18.21	"No perch - Control"	2016	6	20
2	"LAC 2"	"Mesure 1"	2016-12-15 17:34:00	2.31666666666667	0.826666666666667	2.04	0.49	0.7	5.67666666666667	"No perch - Control"	2016	12	15
2	"LAC 2"	"Mesure 1"	2016-09-22 14:21:00	0	0.456666666666667	0.163333333333333	0.713333333333333	1.18333333333333	1.33333333333333	"No perch - Control"	2016	9	22
2	"LAC 2"	"Mesure 1"	2016-07-20 14:57:40	11.99	0	1.41333333333333	0	0.89	13.4	"No perch - Control"	2016	7	20
3	"LAC 3"	"Mesure 1"	2016-02-17 16:03:20	16.15	0	10.4233333333333	0	0	26.57	"Perch - Phosphorus"	2016	2	17
3	"LAC 3"	"Mesure 1"	2016-10-18 14:32:00	0.326666666666667	0.62	0.53	0.553333333333333	1.42666666666667	2.02333333333333	"Perch - Phosphorus"	2016	10	18
3	"LAC 3"	"Mesure 1"	2016-11-21 16:36:40	0	1.12666666666667	0.253333333333333	1.29	1.50333333333333	2.66333333333333	"Perch - Phosphorus"	2016	11	21
3	"LAC 3"	"Mesure 1"	2016-04-14 16:21:00	7.80666666666667	0	0.916666666666667	0	0.596666666666667	8.72333333333333	"Perch - Phosphorus"	2016	4	14
3	"LAC 3"	"Mesure 1"	2016-12-15 17:37:00	2.13	0.823333333333333	0.813333333333333	2.66	1.18	6.42666666666667	"Perch - Phosphorus"	2016	12	15
3	"LAC 3"	"Mesure 1"	2016-01-13 17:10:00	8.81333333333333	0.263333333333333	3.95333333333333	0.0366666666666667	0.18	13.0633333333333	"Perch - Phosphorus"	2016	1	13
3	"LAC 3"	"Mesure 1"	2016-03-22 15:00:00	6.8	0	8.46666666666667	0	1.22	15.2666666666667	"Perch - Phosphorus"	2016	3	22
3	"LAC 3"	"Mesure 1"	2016-05-17 15:45:40	4.10333333333333	0	2.63666666666667	0	0.903333333333333	6.74333333333333	"Perch - Phosphorus"	2016	5	17
3	"LAC 3"	"Mesure 1"	2016-09-22 14:23:00	0	0.54	0.0166666666666667	1.6	1.59666666666667	2.16	"Perch - Phosphorus"	2016	9	22
3	"LAC 3"	"Mesure 1"	2016-08-23 14:30:00	5.85666666666667	0.446666666666667	2.39	0	1.06666666666667	8.69333333333333	"Perch - Phosphorus"	2016	8	23
3	"LAC 3"	"Mesure 1"	2016-06-20 15:35:00	2.55333333333333	0	2.56333333333333	0	0.48	5.11666666666667	"Perch - Phosphorus"	2016	6	20
3	"LAC 3"	"Mesure 1"	2016-07-20 15:00:00	5.42333333333333	0.0833333333333333	4.84666666666667	0	0.866666666666667	10.35	"Perch - Phosphorus"	2016	7	20
4	"LAC 4"	"Mesure 1"	2016-01-13 17:12:40	4.14666666666667	0.283333333333333	7.17666666666667	0	0.63	11.6033333333333	"Perch - Control"	2016	1	13
4	"LAC 4"	"Mesure 1"	2016-03-22 15:02:00	3.44	0	3.64	0	0.71	7.08	"Perch - Control"	2016	3	22
4	"LAC 4"	"Mesure 1"	2016-02-17 16:05:20	3.10333333333333	0.7	3.53666666666667	0	0.63	7.34333333333333	"Perch - Control"	2016	2	17
4	"LAC 4"	"Mesure 1"	2016-08-23 14:32:40	51.3366666666667	0	0	0	1.52333333333333	51.3366666666667	"Perch - Control"	2016	8	23
4	"LAC 4"	"Mesure 1"	2016-05-17 15:48:00	2.94333333333333	0	2.03333333333333	0	0.4	4.97666666666667	"Perch - Control"	2016	5	17
4	"LAC 4"	"Mesure 1"	2016-04-14 16:24:00	5.30333333333333	0.09	0.77	0	0.276666666666667	6.16	"Perch - Control"	2016	4	14
4	"LAC 4"	"Mesure 1"	2016-10-18 14:34:00	18.3266666666667	0	6.55333333333333	0	1.19333333333333	24.8833333333333	"Perch - Control"	2016	10	18
4	"LAC 4"	"Mesure 1"	2016-09-22 14:25:00	76.9233333333333	0	0	0	1.05666666666667	76.9233333333333	"Perch - Control"	2016	9	22
4	"LAC 4"	"Mesure 1"	2016-12-15 17:40:00	7.01333333333333	3.25	2.11666666666667	0	1.20666666666667	12.3766666666667	"Perch - Control"	2016	12	15
4	"LAC 4"	"Mesure 1"	2016-11-21 16:39:00	22.9733333333333	1.85666666666667	10.8233333333333	0	1.98666666666667	35.65	"Perch - Control"	2016	11	21
4	"LAC 4"	"Mesure 1"	2016-06-20 15:37:20	0.71	0.243333333333333	0.776666666666667	0	0.57	1.73	"Perch - Control"	2016	6	20
4	"LAC 4"	"Mesure 1"	2016-07-20 15:02:00	3.48	0	1.78666666666667	0	0.69	5.26666666666667	"Perch - Control"	2016	7	20
5	"LAC 5"	"Mesure 1"	2016-03-22 15:04:00	9.01	0	6.71666666666667	0	1.5	15.73	"Perch - Control"	2016	3	22
5	"LAC 5"	"Mesure 1"	2016-01-13 17:15:20	11.2033333333333	0	10.2266666666667	0	0.646666666666667	21.4266666666667	"Perch - Control"	2016	1	13
5	"LAC 5"	"Mesure 1"	2016-08-23 14:44:00	5.00666666666667	0.87	1.93333333333333	0	1.19	7.81333333333333	"Perch - Control"	2016	8	23
5	"LAC 5"	"Mesure 1"	2016-05-17 15:51:00	6	8.83333333333333	2.55	0	1.09666666666667	17.3866666666667	"Perch - Control"	2016	5	17
5	"LAC 5"	"Mesure 1"	2016-10-18 14:41:00	1.31333333333333	0.21	1.65333333333333	0	1.16	3.18	"Perch - Control"	2016	10	18
5	"LAC 5"	"Mesure 1"	2016-02-17 16:12:00	4.68333333333333	0.593333333333333	5.79	0	1.35333333333333	11.0666666666667	"Perch - Control"	2016	2	17
5	"LAC 5"	"Mesure 1"	2016-09-22 14:27:00	3.86666666666667	1.03333333333333	1.84333333333333	0	1.34666666666667	6.73666666666667	"Perch - Control"	2016	9	22
5	"LAC 5"	"Mesure 1"	2016-06-20 15:40:00	4.39333333333333	0	4.24333333333333	0	0.426666666666667	8.63333333333333	"Perch - Control"	2016	6	20
5	"LAC 5"	"Mesure 1"	2016-04-14 16:27:00	10.5533333333333	0	5.35333333333333	0	0.903333333333333	15.91	"Perch - Control"	2016	4	14
5	"LAC 5"	"Mesure 1"	2016-11-21 16:41:00	4.2	0	4.87333333333333	0	0.926666666666667	9.07666666666667	"Perch - Control"	2016	11	21
5	"LAC 5"	"Mesure 1"	2016-07-20 15:04:00	0.813333333333333	0.136666666666667	1.51333333333333	0	0.893333333333333	2.46	"Perch - Control"	2016	7	20
