"day"	"temp"	"rain"	"datetime"
"20230301"	2.6875	0	2023-03-01
"20230302"	3.84999999999999	0	2023-03-02
"20230303"	4.0125	0	2023-03-03
"20230304"	3.825	0	2023-03-04
"20230305"	5.575	0	2023-03-05
"20230306"	5.54999999999999	-0.1	2023-03-06
"20230307"	6.5875	-0.1	2023-03-07
"20230308"	9.8	17.6	2023-03-08
"20230309"	11.6	10.1	2023-03-09
"20230310"	7.925	3	2023-03-10
"20230311"	5.7375	-0.3	2023-03-11
"20230312"	11.1875	0.1	2023-03-12
"20230313"	13.1875	0.9	2023-03-13
"20230314"	8.97499999999999	1.2	2023-03-14
"20230315"	6.66249999999999	0	2023-03-15
"20230316"	10.975	0	2023-03-16
"20230317"	12.3	2.9	2023-03-17
"20230318"	12.2375	0.2	2023-03-18
"20230319"	9.81249999999999	2.3	2023-03-19
"20230320"	8.7625	-0.1	2023-03-20
"20230321"	11.9125	0.5	2023-03-21
"20230322"	11.8875	0.7	2023-03-22
"20230323"	13.675	-0.1	2023-03-23
"20230324"	12.8625	1.1	2023-03-24
"20230325"	11.0625	0.1	2023-03-25
"20230326"	10.1625	3.5	2023-03-26
"20230327"	7.8875	0	2023-03-27
"20230328"	7.0125	-0.2	2023-03-28
"20230329"	14.9625	0.1	2023-03-29
"20230330"	14.6125	1.9	2023-03-30
"20230331"	12.4125	3.3	2023-03-31
"20230401"	11.45	1.2	2023-04-01
"20230402"	8.06250000000001	0.7	2023-04-02
"20230403"	8.08749999999999	0	2023-04-03
"20230404"	6.97499999999999	0	2023-04-04
"20230405"	8.425	0	2023-04-05
"20230406"	10.9	0.6	2023-04-06
"20230407"	10.0875	0.2	2023-04-07
"20230408"	9.81250000000001	0	2023-04-08
"20230409"	11.35	0	2023-04-09
"20230410"	12.4	11.4	2023-04-10
"20230411"	10.3625	6.2	2023-04-11
"20230412"	9.8625	10.5	2023-04-12
"20230413"	9.5	0.4	2023-04-13
"20230414"	7.14999999999999	1.8	2023-04-14
"20230415"	9.9875	11.3	2023-04-15
"20230416"	10.1125	0	2023-04-16
"20230417"	9.2625	0	2023-04-17
"20230418"	11.3125	0.6	2023-04-18
"20230419"	13.45	0	2023-04-19
"20230420"	9.2	0	2023-04-20
"20230421"	9.21250000000001	0	2023-04-21
"20230422"	11.425	8.5	2023-04-22
"20230423"	11.425	5.4	2023-04-23
"20230424"	10.2875	5.4	2023-04-24
"20230425"	8.91249999999999	0.2	2023-04-25
"20230426"	9.66249999999999	0.5	2023-04-26
"20230427"	14.1875	0.4	2023-04-27
"20230428"	17.5875	6.2	2023-04-28
"20230429"	12.1125	0	2023-04-29
"20230430"	13.1875	0	2023-04-30
"20230501"	13.0125	2.5	2023-05-01
"20230502"	13.4625	0.2	2023-05-02
"20230503"	11.225	0	2023-05-03
