Lac	Profondeur (m)	Date	Time	Site	Unit ID	User ID	°C-19J103501	mmHg-16B102000	DO %-18J100611	DO %L-18J100611	DO mg/L-18J100611	SPC-uS/cm-19J103501	C-uS/cm-19J103501	nLFC-uS/cm-19J103501	TDS mg/L-19J103501	SAL-PSU-19J103501	pH-18F103729	pH mV-18F103729	FNU-18F102856	TSS mg/L-18F102856	BGA-PC RFU-18J104246	BGA-PCug/L-18J104246	Chl RFU-18J104246	Chl ug/L-18J104246	Wiper V-18E102628	Cable V-18J103295	Batt V-18J103295	DEP psia-12L100185	Cable V-12L101107	Batt V-12L101107
1	0.50	05/02/2023	12:22:53	Default Site	Sonde 18J103295		16.071	760.9	126	125.3	12.41	211.5	175.4	214.5	137	0.1	7.77	-101.8	2.74	0	-0.33	-0.33	1.57	4.78	1.201	0	4.98			
1	1.50	05/02/2023	12:28:55	Default Site	Sonde 18J103295		14.1	760.8	129.5	128.8	13.31	209.8	166.1	213.1	136	0.1	8.09	-119.1	3.31	0	0.22	0.22	3.91	10.6	1.201	0	4.96			
1	2.50	05/02/2023	12:36:16	Default Site	Sonde 18J103295		12.676	760.9	21.7	21.6	2.31	217.9	166.6	221.6	142	0.1	6.44	-28.7	10.27	0	2.6	2.6	9.04	23.35	1.201	0	4.94			
2	0.50	05/02/2023	12:43:42	Default Site	Sonde 18J103295		16.323	760.9	123.1	122.5	12.07	211.4	176.4	214.3	137	0.1	7.88	-108.3	3.25	0	-0.22	-0.22	1.83	5.43	1.201	0	4.92			
2	1.50	05/02/2023	12:49:20	Default Site	Sonde 18J103295		14.054	760.9	118.6	117.9	12.2	211.2	167.1	214.6	137	0.1	7.94	-111.3	3.32	0	0.26	0.26	4.37	11.75	1.201	0	4.93			
2	2.50	05/02/2023	12:57:01	Default Site	Sonde 18J103295		12.388	760.9	9.1	9	0.97	222.2	168.7	226	144	0.11	6.44	-29.2	9.72	0	5.81	5.81	9.41	24.26	1.201	0	4.92			
3	0.50	05/02/2023	01:09:56	Default Site	Sonde 18J103295		16.822	760.9	118.7	118.1	11.51	208.4	175.9	211.2	135	0.1	8.19	-125.5	2.61	0	-0.36	-0.36	1.05	3.49	1.201	0	4.91			
3	1.50	05/02/2023	01:15:00	Default Site	Sonde 18J103295		14.319	761	108.3	107.8	11.08	208.1	165.7	211.4	135	0.1	8.13	-121.7	3.16	0	-0.01	-0.01	1.69	5.09	1.201	0	4.91			
3	2.50	05/02/2023	01:20:58	Default Site	Sonde 18J103295		12.75	760.8	18.1	18	1.92	212.4	162.7	216	138	0.1	6.89	-53.6	10.66	0	3.34	3.34	9.26	23.89	1.201	0	4.92			
4	0.50	05/02/2023	01:26:44	Default Site	Sonde 18J103295		16.392	760.9	124.4	123.7	12.17	201.9	168.7	204.7	131	0.1	8.41	-137.6	1.21	0	-0.63	-0.63	0.12	1.18	1.201	0	4.91			
