lake	daily_sd	perch	nut	is_surface
1	0.316270775858482	FALSE	TRUE	TRUE
2	0.320117539992873	FALSE	FALSE	TRUE
3	0.323832359553838	TRUE	TRUE	TRUE
4	0.184979322630142	TRUE	FALSE	TRUE
5	0.454963979071987	TRUE	FALSE	TRUE
6	0.358244483695466	TRUE	TRUE	TRUE
7	0.295379699451733	FALSE	FALSE	TRUE
8	0.239585691953739	FALSE	TRUE	TRUE
9	0.257722797755538	TRUE	TRUE	TRUE
10	0.210505548232334	TRUE	FALSE	TRUE
11	0.435378619611413	FALSE	TRUE	TRUE
12	0.245007440333123	FALSE	FALSE	TRUE
13	0.249919784091573	FALSE	FALSE	TRUE
14	0.335887791772226	FALSE	TRUE	TRUE
15	0.272926198177159	TRUE	FALSE	TRUE
16	NA	TRUE	TRUE	TRUE
1	0.27947640408108	FALSE	TRUE	FALSE
2	0.2196411834177	FALSE	FALSE	FALSE
3	0.297534634873409	TRUE	TRUE	FALSE
4	0.190442425591471	TRUE	FALSE	FALSE
5	0.306384039707578	TRUE	FALSE	FALSE
6	0.41328950929588	TRUE	TRUE	FALSE
7	0.460361483823476	FALSE	FALSE	FALSE
8	0.266442286382447	FALSE	TRUE	FALSE
9	0.331363910827051	TRUE	TRUE	FALSE
10	0.304324588063785	TRUE	FALSE	FALSE
11	0.406854887425367	FALSE	TRUE	FALSE
12	0.246619871791213	FALSE	FALSE	FALSE
13	0.340217051846515	FALSE	FALSE	FALSE
14	0.372728694311926	FALSE	TRUE	FALSE
15	0.244998205471754	TRUE	FALSE	FALSE
16	0.265258097971633	TRUE	TRUE	FALSE
