lake	daily_sd	perch	nut	is_surface
1	0.354626591086031	FALSE	TRUE	TRUE
2	0.375934983585342	FALSE	FALSE	TRUE
3	0.399644462312355	TRUE	TRUE	TRUE
4	0.324846596352169	TRUE	FALSE	TRUE
5	0.325945805052981	TRUE	FALSE	TRUE
6	0.349611796957734	TRUE	TRUE	TRUE
7	0.287256640308668	FALSE	FALSE	TRUE
8	0.311188266281146	FALSE	TRUE	TRUE
9	0.374047704977817	TRUE	TRUE	TRUE
10	0.366654601099225	TRUE	FALSE	TRUE
11	0.360991429457987	FALSE	TRUE	TRUE
12	0.259504832052893	FALSE	FALSE	TRUE
13	0.278959463903468	FALSE	FALSE	TRUE
14	0.383494004007192	FALSE	TRUE	TRUE
15	0.29135712313674	TRUE	FALSE	TRUE
16	NA	TRUE	TRUE	TRUE
1	0.0317328592362828	FALSE	TRUE	FALSE
2	0.020440421145876	FALSE	FALSE	FALSE
3	0.0192833949952666	TRUE	TRUE	FALSE
4	0.0671316085625386	TRUE	FALSE	FALSE
5	0.0164032343307495	TRUE	FALSE	FALSE
6	0.0334480867893618	TRUE	TRUE	FALSE
7	0.0274069789511619	FALSE	FALSE	FALSE
8	0.0440043679275769	FALSE	TRUE	FALSE
9	0.0578659357841455	TRUE	TRUE	FALSE
10	0.0633956254890293	TRUE	FALSE	FALSE
11	0.0233308510486622	FALSE	TRUE	FALSE
12	0.0299893514491701	FALSE	FALSE	FALSE
13	0.0340055994944424	FALSE	FALSE	FALSE
14	0.0146619861708248	FALSE	TRUE	FALSE
15	0.0500159626500768	TRUE	FALSE	FALSE
16	0.018732763041983	TRUE	TRUE	FALSE
